Cell_ID,I,J,X,Y
278,136,11,414136.41,4092745.25
279,137,11,414431,4093212.25
280,138,11,414727.25,4093745
281,139,11,415035.19,4094352.75
282,140,11,415361.97,4095040.25
283,141,11,415711.19,4095812.25
284,142,11,416085.19,4096672.75
285,143,11,416483.91,4097619.5
286,144,11,416905.41,4098654.75
287,145,11,417344.84,4099770.25
288,146,11,417795.12,4100955
289,147,11,418244.62,4102200.25
290,148,11,418676.84,4103474.5
291,149,11,419070.59,4104747.25
292,150,11,419440.31,4106034.5
293,151,11,419660.28,4107277.75
294,100,12,366015.62,4083080.25
295,101,12,366658.16,4082202.5
296,107,12,380497.91,4081152.75
297,108,12,381470.38,4081570.25
298,117,12,402602.56,4085785
299,118,12,403359.31,4086560.25
300,119,12,404079.38,4087242.25
301,120,12,404768.72,4087845
302,121,12,405433.03,4088385.25
303,122,12,406077.09,4088875.5
304,123,12,406705.03,4089323
305,124,12,407319.75,4089730.25
306,125,12,407924.25,4090105
307,126,12,408520.31,4090452.75
308,127,12,409108.53,4090778
309,128,12,409687.75,4091080
310,129,12,410252.56,4091365
311,130,12,410794.53,4091643
312,131,12,411302.19,4091917.75
313,132,12,411765.19,4092200
314,133,12,412178.91,4092497.5
315,134,12,412547.19,4092815
316,135,12,412879.91,4093165
317,136,12,413190.25,4093557.75
318,137,12,413491.19,4094002.5
319,138,12,413793.88,4094510
320,139,12,414108.09,4095092.25
321,140,12,414440.91,4095759.75
322,141,12,414795.72,4096510
323,142,12,415174.44,4097350
324,143,12,415577,4098282.25
325,144,12,416000.16,4099300.25
326,145,12,416438.88,4100402.5
327,146,12,416884.91,4101579.75
328,147,12,417325.16,4102815
329,148,12,417740.91,4104087.75
330,149,12,418107.19,4105362.5
331,150,12,418395.41,4106604.75
332,98,13,365928,4086280.25
333,100,13,367768,4084353
334,101,13,368733,4083390.5
335,107,13,380250.44,4082460.25
336,108,13,381278,4082812.75
337,109,13,382230.38,4083262.75
338,114,13,395364,4086482.5
339,116,13,399541.56,4086420.25
340,117,13,400997.41,4087065
341,118,13,401871.62,4087777.5
342,119,13,402632.09,4088440.25
343,120,13,403362.03,4089027.5
344,121,13,404067.28,4089552.75
345,122,13,404753.03,4090025
346,123,13,405422.81,4090455
347,124,13,406079.72,4090847.75
348,125,13,406727.03,4091205.5
349,126,13,407365.81,4091535.25
350,127,13,407996.56,4091840
351,128,13,408617.28,4092120
352,129,13,409221.47,4092385
353,130,13,409799.16,4092640.25
354,131,13,410337.25,4092895
355,132,13,410823.53,4093160
356,133,13,411253.75,4093439.75
357,134,13,411632.97,4093740.25
358,135,13,411973,4094070
359,136,13,412288.56,4094445
360,137,13,412593.91,4094870
361,138,13,412901.62,4095355
362,139,13,413221.47,4095915.25
363,140,13,413559.72,4096557.75
364,141,13,413920.25,4097287.25
365,142,13,414304.25,4098110
366,143,13,414711,4099025
367,144,13,415136.97,4100027.25
368,145,13,415575.91,4101117.75
369,146,13,416019.16,4102287.25
370,147,13,416452.16,4103517.75
371,148,13,416854.47,4104790
372,149,13,417199.69,4106077.5
373,150,13,417458.09,4107342.5
374,97,14,366195.44,4089385.25
375,98,14,367438.03,4087587.5
376,99,14,368247.97,4086505.25
377,100,14,369162.91,4085510
378,101,14,370320.41,4084740.25
379,108,14,381300.44,4083915.5
380,109,14,382265.38,4084365.5
381,110,14,383335.38,4084793
382,111,14,384982.88,4084235.25
383,113,14,392377.25,4088155.25
384,114,14,394058.19,4088032.75
385,115,14,396036.16,4087877.75
386,116,14,397904.62,4087975.25
387,117,14,399391.19,4088405.5
388,118,14,400430.16,4089025
389,119,14,401229.56,4089667.5
390,120,14,401998.88,4090240.25
391,121,14,402743.88,4090750
392,122,14,403470.03,4091208
393,123,14,404180.72,4091623
394,124,14,404879.28,4091997.75
395,125,14,405568.31,4092337.5
396,126,14,406248.84,4092650
397,127,14,406921.38,4092937.5
398,128,14,407582.84,4093200
399,129,14,408226,4093445
400,130,14,408839.25,4093680
401,131,14,409407.03,4093917.75
