150  9  2     219 11267
151  9  1     220
152  9  1     221
153  9  1     222
101 10  1     223
108 10  5     224 11268 20400 27993 34331
123 10  4     225 11269 20401 27994
124 10  4     226 11270 20402 27995
125 10  8     227 11271 20403 27996 34332 39471 43647 46920
126 10  8     228 11272 20404 27997 34333 39472 43648 46921
127 10  8     229 11273 20405 27998 34334 39473 43649 46922
128 10  8     230 11274 20406 27999 34335 39474 43650 46923
129 10  8     231 11275 20407 28000 34336 39475 43651 46924
130 10 10     232 11276 20408 28001 34337 39476 43652 46925 49446 51254
131 10 11     233 11277 20409 28002 34338 39477 43653 46926 49447 51255 52581
132 10 11     234 11278 20410 28003 34339 39478 43654 46927 49448 51256 52582
133 10 11     235 11279 20411 28004 34340 39479 43655 46928 49449 51257 52583
134 10  6     236 11280 20412 28005 34341 39480
135 10  4     237 11281 20413 28006
136 10  4     238 11282 20414 28007
137 10  5     239 11283 20415 28008 34342
138 10  5     240 11284 20416 28009 34343
139 10  5     241 11285 20417 28010 34344
140 10  5     242 11286 20418 28011 34345
141 10  4     243 11287 20419 28012
142 10  4     244 11288 20420 28013
143 10  4     245 11289 20421 28014
144 10  8     246 11290 20422 28015 34346 39481 43656 46929
145 10  3     247 11291 20423
146 10  3     248 11292 20424
147 10  3     249 11293 20425
148 10  2     250 11294
149 10  2     251 11295
150 10  2     252 11296
151 10  1     253
152 10  1     254
101 11  1     255
104 11  1     256
105 11  1     257
106 11  1     258
107 11  1     259
108 11  5     260 11297 20426 28016 34347
119 11  3     261 11298 20427
120 11  4     262 11299 20428 28017
121 11  5     263 11300 20429 28018 34348
122 11  4     264 11301 20430 28019
123 11  4     265 11302 20431 28020
124 11  4     266 11303 20432 28021
125 11  9     267 11304 20433 28022 34349 39482 43657 46930 49450
126 11  9     268 11305 20434 28023 34350 39483 43658 46931 49451
127 11  9     269 11306 20435 28024 34351 39484 43659 46932 49452
128 11  9     270 11307 20436 28025 34352 39485 43660 46933 49453
129 11 10     271 11308 20437 28026 34353 39486 43661 46934 49454 51258
130 11 10     272 11309 20438 28027 34354 39487 43662 46935 49455 51259
131 11 11     273 11310 20439 28028 34355 39488 43663 46936 49456 51260 52584
132 11 11     274 11311 20440 28029 34356 39489 43664 46937 49457 51261 52585
133 11 11     275 11312 20441 28030 34357 39490 43665 46938 49458 51262 52586
134 11  6     276 11313 20442 28031 34358 39491
135 11  5     277 11314 20443 28032 34359
136 11  5     278 11315 20444 28033 34360
137 11  5     279 11316 20445 28034 34361
138 11  5     280 11317 20446 28035 34362
139 11  5     281 11318 20447 28036 34363
140 11  4     282 11319 20448 28037
141 11  4     283 11320 20449 28038
142 11  4     284 11321 20450 28039
143 11  3     285 11322 20451
144 11  8     286 11323 20452 28040 34364 39492 43666 46939
145 11  3     287 11324 20453
146 11  3     288 11325 20454
147 11  5     289 11326 20455 28041 34365
148 11  5     290 11327 20456 28042 34366
149 11  2     291 11328
150 11  2     292 11329
151 11  1     293
100 12  1     294
101 12  1     295
107 12  2     296 11330
108 12  6     297 11331 20457 28043 34367 39493
117 12  2     298 11332
118 12  3     299 11333 20458
119 12  4     300 11334 20459 28044
120 12  5     301 11335 20460 28045 34368
121 12  6     302 11336 20461 28046 34369 39494
122 12  6     303 11337 20462 28047 34370 39495
123 12  8     304 11338 20463 28048 34371 39496 43667 46940
124 12 10     305 11339 20464 28049 34372 39497 43668 46941 49459 51263
125 12 10     306 11340 20465 28050 34373 39498 43669 46942 49460 51264
